AIRLINE_CODE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,AIR_TIME,DISTANCE,CANCELLED
,3613,N932MQ,MSN,DFW,,821,1
MQ,3568,N528MQ,CMH,LGA,63,479,0
OO,5348,N562SW,SBP,LAX,37,156,0
OO,5256,N789SK,COS,IAH,116,809,0
OO,4747,N810SK,OAK,SLC,95,588,0
OO,5464,N296SW,LAR,DEN,28,113,0
OO,5608,N930SW,SAN,LAX,25,109,0
OO,5636,N237SW,BFL,SFO,59,238,0
OO,6571,N886AS,DRO,PHX,57,351,0
OO,6573,N468CA,MRY,PHX,79,598,0
OO,6616,N897SK,FAT,PHX,78,493,0
NK,612,N635NK,MSP,ORD,49,334,0
NK,940,N508NK,DFW,ORD,96,802,0
OO,6368,N874AS,BIS,DEN,77,516,0
HA,101,N492HA,ITO,HNL,39,216,0
B6,762,N775JB,PBI,LGA,141,1035,0
OO,5249,N118SY,SAT,ORD,121,1041,0
UA,207,N446UA,FLL,IAH,,965,0
US,1931,N833AW,BUF,CLT,,546,0
UA,732,N824UA,SEA,ORD,,1721,0
WN,698,N422WN,CMH,FLL,,973,0
WN,799,N7736A,LAS,HOU,,1235,0
WN,687,N789SW,PVD,MCO,,1072,0
WN,823,N7707C,SAN,BWI,,2295,0
WN,603,N461WN,SAN,MDW,200,1728,0
WN,885,N276WN,SMF,PHX,89,647,0
UA,1192,N69804,SAN,DEN,110,853,0
UA,1568,N24212,SAN,EWR,253,2425,0
US,460,N640AW,SJC,PHX,85,621,0
AA,269,N557AA,SJC,DFW,,1438,1
AA,1186,N5CPAA,DFW,BOS,165,1562,0
AA,1390,N496AA,SAN,DFW,138,1171,0
AA,2420,N3ERAA,LAX,DFW,149,1235,0
AS,545,N519AS,ONT,SEA,135,956,0
AA,955,N3AAAA,RDU,MIA,96,700,0
DL,2129,N911DA,ROC,ATL,108,749,0
DL,1518,N591NW,MCO,ATL,61,404,0
DL,1588,N327NB,DCA,MSP,155,931,0
EV,4468,N14125,CAE,IAH,154,878,0
EV,5534,N695CA,BTR,ATL,59,448,0
F9,1338,N906FR,IAD,MSP,142,908,0
MQ,3205,N680MQ,SAV,DFW,,925,1
MQ,3173,N614MQ,GRI,DFW,,561,1
NK,470,N534NK,PDX,SAN,115,933,0
NK,742,N632NK,DFW,MSP,111,852,0
OO,4762,N935SW,PSP,SLC,84,541,0
OO,4716,N8903A,ISN,MSP,74,546,0
OO,5616,N961SW,,DEN,79,594,0
UA,1026,N39423,,IAH,137,854,0
B6,1481,N318JB,,RIC,88,474,0
F9,344,N932FR,,DEN,70,524,0
OO,4624,N822SK,,SLC,83,501,0
OO,6372,N742SK,,DEN,73,483,0
NK,200,N530NK,,ORD,115,925,0
UA,206,N487UA,,IAH,222,1400,0
DL,1515,N902DE,,DTW,41,201,0
US,1982,N152UW,,CLT,95,631,0
UA,525,N471UA,,EWR,150,1085,0
WN,871,N7814B,,ATL,137,1199,0
WN,343,N8649A,,PHX,224,1444,0
US,598,N561UW,LAX,PHL,258,2402,0
AA,127,N3GHAA,IAD,DFW,200,1172,0
AA,387,N4XXAA,LAX,AUS,,1242,1
AA,1079,N3KKAA,CLT,DFW,149,936,0
AA,1207,N3DPAA,PHL,DFW,206,1303,0
AA,1343,N3GLAA,DFW,CLT,107,936,0
AA,1635,N025AA,ATL,DFW,,731,1
AA,2379,N3KPAA,RDU,DFW,166,1061,0
